SiO2,Al2O3,B2O3,CaO,Na2O,Li2O,MgO,BaO,ZnO,K2O,PbO,SrO,GeO2,ZrO2,TiO2,TeO2,FemOn,P2O5,Tg
56.62049,0.771134,3.475152,4.750075,10.40619,0,0,3.710749,16.98915,3.277064,0,0,0,0,0,0,0,0,544
12.3845,0,10.76252,0,0,0,0,0,0,0,65.72223,0,7.700652,0,0,0,0,0,450
72.7,1.3,0,8.6,13.6,0,3.4,0,0,0.4,0,0,0,0,0,0,0,0,532
45.0351,3.510531,0,0,5.315948,0,0,7.021062,0,0,39.11735,0,0,0,0,0,0,0,457
40.72948,3.546099,0,0,7.092198,0,0,7.092198,0,0,41.54002,0,0,0,0,0,0,0,445
21.20994,0,0,0,0,0,0,0,0,0,78.79006,0,0,0,0,0,0,0,403
15.21571,0,0,0,0,0,0,0,0,0,84.78429,0,0,0,0,0,0,0,364
65.2999,0,0,0,34.7001,0,0,0,0,0,0,0,0,0,0,0,0,0,475
80.08571,0,0,0,0,19.9143,0,0,0,0,0,0,0,0,0,0,0,0,460
77.32201,0,0,0,0,19.22707,0,0,0,0,0,0,0,0,0,0,0,0,460
75.10046,0,0,0,0,24.89954,0,0,0,0,0,0,0,0,0,0,0,0,456
71.43633,0,0,0,0,23.66452,0,0,0,0,0,0,0,0,0,0,0,0,451
72.84512,0,0,0,0,27.15489,0,0,0,0,0,0,0,0,0,0,0,0,451
70.14928,0,0,0,0,26.19626,0,0,0,0,0,0,0,0,0,0,0,0,449
55.30949,21.32467,13.0226,0,9.676285,0,0,0,0,0,0,0,0,0,0,0,0,0,589
53.88132,22.11174,14.79207,0,8.536853,0,0,0,0,0,0,0,0,0,0,0,0,0,606
69.14006,0,22.61888,0,7.637913,0,0,0,0,0,0,0,0,0,0,0,0,0,490
70.57458,0,19.71968,0,8.827249,0,0,0,0,0,0,0,0,0,0,0,0,0,525
65.71333,0,27.77877,0,6.010048,0,0,0,0,0,0,0,0,0,0,0,0,0,456
